id;date;price;level;levels;rooms;area;kitchen_area;geo_lat;geo_lon;building_type;object_type;postal_code;street_id;id_region;house_id
273;2021-01-01;4525511;12;17;1;38.09;12.9;55.5639247;37.8255637;0;2;;;50;2266087
274;2021-01-01;1950000;4;5;2;35;0;57.1327243;65.5822106;4;0;625023;228530;72;1714063
275;2021-01-01;3000000;7;10;4;90.4;-100;56.1476366;47.1634659;2;0;428009;247920;21;1991385
276;2021-01-01;4554193;16;17;1;38.09;12.9;55.5639247;37.8255637;0;2;;;50;2266087
277;2021-01-01;4800000;1;10;-1;67.2;7.1;55.125896;82.894414;4;2;630040;579548;54;1627459
278;2021-01-01;4800000;16;17;-1;28.3;5;55.9105782;37.7363579;3;2;141000;;50;2585216
279;2021-01-01;3000000;1;4;1;31;9;44.7031834;37.7882055;5;0;353905;252205;23;1311793
280;2021-01-01;3120000;14;18;-1;25;0;60.06271;30.424097;0;0;188669;435371;47;1181481
281;2021-01-01;7343614;2;15;1;41.2;19.9;55.590612;37.446138;0;2;;587420;77;2837707
282;2021-01-01;4600000;5;5;3;54;3.8;44.7017002;37.7870984;2;0;353905;;23;
283;2021-01-01;2900000;1;10;1;34.9;10.6;55.125896;82.894414;4;2;630040;579548;54;1627459
284;2021-01-01;1600000;12;22;-1;21.1;0;44.707143;37.772523;3;2;353915;564162;23;611932
285;2021-01-01;1780000;8;12;-1;30.46;0;57.6215477;39.8977411;4;0;150042;328126;76;706509
286;2021-01-01;1460000;1;5;2;46;-100;45.3571375;40.6936195;4;0;352190;414319;23;966155
287;2021-01-01;4500000;5;18;2;68;14.4;44.7085447;37.778234;3;2;353905;434116;23;2092010
288;2021-01-01;3200000;2;9;1;41;14;46.3054945;44.2681089;4;0;358000;499044;8;1241046
289;2021-01-01;17500000;10;11;2;80;0;44.5011541;34.1728905;0;0;298600;456411;91;2515484
290;2021-01-01;4250000;1;10;2;54.6;13.5;55.125896;82.894414;4;2;630040;579548;54;1627459
291;2021-01-01;4800000;8;8;2;61.5;12.7;55.125896;82.894414;4;2;630040;579548;54;1627459
292;2021-01-01;1490000;2;10;1;31;9.8;59.1890518;39.9323019;4;0;160033;;35;
293;2021-01-01;3500000;1;4;2;57.7;10;50.5821508;36.6604193;4;0;308013;235193;31;2456500
294;2021-01-01;4500000;1;5;4;88.9;8;43.5035304;43.6183465;4;0;360019;440309;7;1535924
295;2021-01-01;3600000;12;19;1;27;6;55.7933432;49.2473341;3;0;420083;139029;16;2474823
296;2021-01-01;3720000;3;5;2;47.1;6;56.266933;43.89623;0;0;603095;;52;
297;2021-01-01;5400000;1;9;2;55;11;53.20639;44.989273;4;0;440018;;58;
298;2021-01-01;6500000;5;5;2;72.8;-100;50.262616;127.564894;2;0;675002;;28;
299;2021-01-01;4500000;1;10;2;60.4;16.4;55.125896;82.894414;4;2;630040;579548;54;1627459
300;2021-01-01;3787435;3;11;2;40;16.8;64.5288278;40.554559;6;2;163002;327981;29;2741454
301;2021-01-01;4350000;11;13;2;52.4;10;44.7265993;37.7447217;3;0;353907;386304;23;1721321
